Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA
12-Feb-2021,225.75,225.75,215.8,217.6,217.45,110568108,24184438376.35,226.91,227.332782032914
15-Feb-2021,218.45,221,217.5,218.75,218.6,31776555,6960357813.95,224.62,224.038520696424
16-Feb-2021,219.05,221.8,217.25,218.4,218.25,29148891,6389077050.95,221.82,222.225680101714
17-Feb-2021,217.6,218.4,216.55,217.95,217.75,19850516,4315383329.6,219.63,220.900453136098
18-Feb-2021,218.2,220.6,217.9,219.1,218.85,24070563,5275597175.95,218.32,219.850301880702
19-Feb-2021,218.85,218.9,214,216.5,215.95,28125203,6100479018.5,217,219.516867853781
22-Feb-2021,212,212,206,206.95,207.05,51546288,10718107964.25,216.64,218.327911664729
23-Feb-2021,208,210.55,207,208.7,208.5,26675953,5572221289.05,214.34,214.568607024625
24-Feb-2021,209.1,209.8,206.5,208.65,208.85,13160617,2745487405.5,212.29,212.545737611843
25-Feb-2021,209.5,211.2,208.8,209.2,209.15,25954142,5450207882.15,210.28,211.31382482818
26-Feb-2021,207.25,208,203,203.65,203.85,43429293,8921826329.3,208.46,210.592549741198
01-Mar-2021,205.45,207.75,204.05,207,206.9,16225536,3343330147.7,206.26,208.345032711295
02-Mar-2021,207,210.8,206.5,210,209.9,25604169,5364909293.65,205.87,207.863355044528
03-Mar-2021,212,212,208.8,209.95,209.95,20846117,4382226055.3,205.77,208.542236832128
04-Mar-2021,208.8,211.3,207.6,209.8,209.7,24899212,5222335980.75,206.23,209.01149131527
