,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
206,20090330,169.8,169.8,159.0,160.85,63870,156.87,154.83,152.7,159.86,150.76,157.15,154.95,145.59,145.59,150.76,165.46,161.21,149.56,154.09
207,20090331,165.85,171.0,161.0,169.05,13705,158.51,155.75,153.33,160.37,151.71,157.15,156.28,147.98,147.98,151.71,166.84,163.25,150.1,155.27
208,20090401,168.0,182.0,165.5,179.05,13553,161.25,157.25,154.3,161.68,152.91,161.93,161.05,150.14,150.14,152.91,169.15,166.82,150.77,157.03
209,20090402,185.0,188.0,172.3,178.45,17818,163.63,158.62,155.6,163.01,154.18,162.07,161.32,153.61,153.61,154.18,171.95,169.81,151.55,158.68
210,20090406,179.25,189.85,179.25,187.9,22938,166.97,160.51,157.38,165.41,155.73,166.5,166.32,156.66,156.66,155.73,175.74,174.09,152.49,160.85
211,20090408,175.8,195.0,175.8,191.3,31708,170.4,162.5,159.55,168.07,157.39,169.8,168.42,161.03,161.03,157.39,180.2,178.41,153.59,163.15
212,20090409,190.95,196.0,183.15,189.2,15520,173.22,164.22,161.48,170.13,159.01,171.12,168.7,165.88,165.88,159.01,184.25,181.75,154.84,165.2
213,20090413,182.0,199.0,182.0,187.5,9253,175.55,165.72,163.09,171.52,160.4,171.55,169.68,169.94,169.94,160.4,187.2,184.3,156.24,167.04
214,20090415,188.0,190.0,182.55,188.85,9882,177.8,167.21,164.41,172.78,161.65,175.62,170.65,173.36,173.36,161.65,189.18,186.7,157.78,168.88
215,20090416,195.5,200.95,191.0,195.55,20366,180.66,169.04,165.23,174.49,162.95,178.2,177.28,176.23,176.23,162.95,191.14,189.94,159.51,171.06
216,20090417,199.9,200.0,194.85,199.4,17090,183.7,171.0,165.85,176.49,164.34,180.12,179.2,179.71,179.71,164.34,193.48,193.4,161.43,173.41
217,20090420,200.0,219.35,198.3,217.05,72797,188.63,173.97,166.62,181.45,166.39,188.95,188.02,183.65,183.65,166.39,197.91,199.54,163.55,176.82
218,20090421,215.0,233.35,201.35,224.5,75782,193.99,177.23,168.19,188.22,168.84,192.68,191.75,190.33,190.33,168.84,204.27,206.16,165.89,180.56
219,20090422,228.0,240.0,217.0,234.75,51336,200.09,180.94,170.18,196.26,171.62,197.8,196.88,197.16,197.16,171.62,212.27,213.72,168.45,184.82
220,20090423,235.0,240.0,229.0,233.3,29430,205.4,184.32,171.97,203.14,174.48,201.9,197.88,201.35,201.35,174.48,220.13,219.94,171.2,188.8
221,20090424,232.1,240.0,222.55,237.85,11782,210.72,187.77,174.21,210.3,177.57,208.15,201.68,208.03,208.03,177.57,227.25,226.08,174.18,192.88
222,20090427,235.0,238.85,229.0,231.05,4893,214.64,190.57,176.64,214.11,180.53,208.15,205.08,213.99,213.99,180.53,232.21,230.07,177.36,196.33
223,20090428,228.8,229.5,221.0,223.6,5382,217.22,192.7,179.67,215.41,183.05,212.68,206.82,218.77,218.77,183.05,234.17,232.06,180.61,199.11
